scenario,RUSX,variable,region,2025,2030,2035,2040,2045,2050,unit
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,South America_Northern,8.183628791,12.76567213,13.74922353,14.26896292,14.10727126,13.78726752,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,South America_Southern,-0.530538898,-0.43554059,-0.39011801,-0.440105398,-0.558842593,-0.64590601,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,South Asia,-0.802042,-1.05093,-1.351081,-1.778325,-2.338243,-2.9775974,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,South Korea,-10.1656917,-10.12159574,-9.970090437,-9.669572409,-9.320164125,-8.861620978,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Southeast Asia,-7.8780072,-8.9448527,-10.4175367,-12.1453802,-13.4742807,-14.6799572,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Taiwan,-4.547537442,-4.512548327,-4.487015262,-4.407789718,-4.268497471,-4.123620547,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,USA,-7.9363518,-0.4848275,4.3983991,8.8482391,13.5356842,18.4403762,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Africa_Eastern,0.046584348,0.003776181,-0.104031286,-0.324401447,-0.78166743,-1.305346831,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Africa_Northern,3.5075191,5.22891856,5.85295341,6.97614641,8.07541038,8.88799918,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Africa_Southern,4.131758329,3.930815361,3.634733502,3.010664558,2.118780989,1.086603968,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Africa_Western,7.024529115,9.754616293,10.04086666,9.624280556,7.558040957,5.191851407,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Argentina,-0.59111498,-0.36274137,-0.14846866,0.2054401,0.55371858,0.76373182,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Australia_NZ,9.196266291,7.617752176,5.921224418,5.352282512,5.44624608,6.143976435,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Brazil,-1.11535086,-0.56462245,-0.72337376,-1.16308122,-1.55983913,-1.77002812,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Canada,7.85043446,10.23624088,10.68813424,12.39333156,13.97083624,14.91174572,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Central America and Caribbean,-1.173449542,-1.006283812,-0.916759011,-0.782524122,-0.611002833,-0.494438478,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Central Asia,7.7743855,9.12427431,9.52092656,10.40418979,10.51412774,11.11684472,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,China,-35.40325716,-32.50538933,-32.56812257,-33.09848415,-35.37250179,-37.48713768,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Colombia,2.840669507,2.44971199,2.160746667,2.024270334,1.865757043,1.891194082,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,EU-12,-3.50271258,-2.18716353,-2.0737091,-1.81381604,-1.81702051,-1.620450633,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,EU-15,-26.9358913,-20.7920066,-19.30000871,-17.75419977,-15.57464263,-13.9837881,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Europe_Eastern,-0.769090074,0.150340355,0.662590606,1.70901301,2.906619996,3.542651651,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Europe_Non_EU,-4.87637971,-4.32021178,-4.25786965,-4.24483707,-4.24796116,-4.29320513,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,European Free Trade Association,7.833273649,7.467811069,6.879695122,6.107024478,5.233168061,4.433289593,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,India,-19.61293157,-19.36048706,-19.17418155,-20.14944568,-19.5902448,-20.47087389,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Indonesia,8.912821949,9.558212499,8.258494766,7.615212444,7.442798544,7.756632956,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Japan,-15.03825076,-12.93860215,-10.43552106,-8.93062859,-7.58263478,-6.52183436,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Mexico,1.4936578,2.2645789,1.8876735,1.567992,1.1018117,0.7572949,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Middle East,46.48678381,47.33782698,45.19899115,41.8778223,37.96851626,34.93827912,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Pakistan,-1.206745714,-1.240887029,-1.238128553,-1.376925173,-1.645889899,-1.854831012,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Russia,27.5368764,-0.784786465,-0.77714686,-0.913840937,-1.009805707,-1.026391584,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,South Africa,0.52740261,0.25183361,-0.05987817,0.11491145,0.43603707,1.17416404,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,South America_Northern,6.575472431,8.007965277,7.163096025,7.166308021,7.085081094,7.014205154,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,South America_Southern,-0.413389286,-0.225623295,-0.076040581,-0.02242838,-0.007756506,0.000249918,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,South Asia,-0.5107182,-0.4998424,-0.5234585,-0.623012,-0.8113238,-0.9954512,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,South Korea,-9.338332332,-7.858590124,-6.61164919,-5.878613585,-5.364704393,-4.98576608,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Southeast Asia,-6.9217617,-6.5147441,-6.6728966,-7.3144394,-7.6434756,-8.0954098,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,Taiwan,-4.200462659,-3.807407169,-3.380757369,-3.033261261,-2.679456341,-2.40188922,EJ
RCP2.6|NoRusX,NoRusX,Net Fossil Fuel Exports,USA,-10.1286563,-8.4153737,-8.8281156,-8.7249268,-5.9771335,-2.3038086,EJ
